id,value,name,date
191,,MBK_MIACR_RUB_VOL_d180,2016-03-16
192,,MBK_MIACR_RUB_VOL_d360,2016-03-16
193,150878.4,MBK_MIACR_IG_RUB_VOL_d1,2016-03-16
194,,MBK_MIACR_IG_RUB_VOL_d7,2016-03-16
195,,MBK_MIACR_IG_RUB_VOL_d30,2016-03-16
196,,MBK_MIACR_IG_RUB_VOL_d90,2016-03-16
197,,MBK_MIACR_IG_RUB_VOL_d180,2016-03-16
198,,MBK_MIACR_IG_RUB_VOL_d360,2016-03-16
199,11.0,MBK_MIACR_B_RUB_d1,2016-03-16
200,,MBK_MIACR_B_RUB_d7,2016-03-16
201,,MBK_MIACR_B_RUB_d30,2016-03-16
202,,MBK_MIACR_B_RUB_d90,2016-03-16
203,,MBK_MIACR_B_RUB_d180,2016-03-16
204,,MBK_MIACR_B_RUB_d360,2016-03-16
205,12984.0,MBK_MIACR_B_RUB_VOL_d1,2016-03-16
206,,MBK_MIACR_B_RUB_VOL_d7,2016-03-16
207,,MBK_MIACR_B_RUB_VOL_d30,2016-03-16
208,,MBK_MIACR_B_RUB_VOL_d90,2016-03-16
209,,MBK_MIACR_B_RUB_VOL_d180,2016-03-16
210,,MBK_MIACR_B_RUB_VOL_d360,2016-03-16
211,0.3499,MBK_MIBID_USD_IR_d1,2016-03-16
212,0.4199,MBK_MIBID_USD_IR_d7,2016-03-16
213,0.6208,MBK_MIBID_USD_IR_d30,2016-03-16
214,1.0299,MBK_MIBID_USD_IR_d90,2016-03-16
215,1.4032,MBK_MIBID_USD_IR_d180,2016-03-16
216,1.9526,MBK_MIBID_USD_IR_d360,2016-03-16
217,0.8431,MBK_MIBOR_USD_IR_d1,2016-03-16
218,1.0142,MBK_MIBOR_USD_IR_d7,2016-03-16
219,1.4645,MBK_MIBOR_USD_IR_d30,2016-03-16
220,1.8511,MBK_MIBOR_USD_IR_d90,2016-03-16
221,2.5437,MBK_MIBOR_USD_IR_d180,2016-03-16
222,3.4562,MBK_MIBOR_USD_IR_d360,2016-03-16
223,0.3896,MBK_MIACR_USD_IR_d1,2016-03-16
224,,MBK_MIACR_USD_IR_d7,2016-03-16
225,0.6367,MBK_MIACR_USD_IR_d30,2016-03-16
226,,MBK_MIACR_USD_IR_d90,2016-03-16
227,,MBK_MIACR_USD_IR_d180,2016-03-16
228,,MBK_MIACR_USD_IR_d360,2016-03-16
229,9290.1147,MBK_MIACR_USD_VOL_d1,2016-03-16
230,,MBK_MIACR_USD_VOL_d7,2016-03-16
231,136.0,MBK_MIACR_USD_VOL_d30,2016-03-16
232,,MBK_MIACR_USD_VOL_d90,2016-03-16
233,,MBK_MIACR_USD_VOL_d180,2016-03-16
234,,MBK_MIACR_USD_VOL_d360,2016-03-16
235,10.65,MBK_MIBID_RUB_IR_d1,2016-03-17
236,10.8447,MBK_MIBID_RUB_IR_d7,2016-03-17
237,10.6725,MBK_MIBID_RUB_IR_d30,2016-03-17
238,10.9775,MBK_MIBID_RUB_IR_d90,2016-03-17
239,11.2625,MBK_MIBID_RUB_IR_d180,2016-03-17
